SampleID,Glucose,Lactate,Alanine,Citrate,Succinate,PopulationGroup
1,5.4,8.1,7.3,1.4,0.3,Group A
2,6.2,7.5,6.9,1.1,0.4,Group B
3,5.8,7.8,7.1,1.3,0.3,Group A
4,6.0,8.0,6.5,1.4,0.5,Group C
5,5.5,8.2,7.0,1.2,0.3,Group B
6,6.1,7.4,6.8,1.3,0.4,Group C
7,5.9,7.7,6.9,1.2,0.4,Group A
8,6.3,7.6,7.0,1.1,0.5,Group C
9,5.7,8.1,7.2,1.2,0.4,Group B
10,5.6,7.9,6.6,1.3,0.3,Group A
11,6.4,7.5,6.9,1.2,0.4,Group B
12,5.9,8.0,7.3,1.3,0.3,Group C
13,6.1,7.6,6.8,1.1,0.5,Group A
14,5.5,7.9,7.1,1.3,0.4,Group B
15,6.0,7.4,6.7,1.4,0.4,Group C
16,5.8,7.8,7.2,1.2,0.3,Group A
17,6.2,8.0,7.0,1.1,0.5,Group B
18,5.7,7.7,6.9,1.3,0.4,Group C
19,6.1,7.5,7.3,1.2,0.3,Group A
20,5.9,7.6,6.8,1.4,0.5,Group C
21,5.4,8.1,7.2,1.3,0.4,Group B
22,6.3,7.9,7.1,1.2,0.3,Group A
23,5.6,7.7,6.9,1.4,0.4,Group C
24,6.0,7.8,7.0,1.1,0.5,Group B
25,5.7,8.0,6.8,1.3,0.3,Group A
26,6.2,7.9,7.3,1.2,0.4,Group B
27,5.8,7.6,6.9,1.4,0.5,Group C
28,6.0,7.5,7.0,1.3,0.3,Group A
29,5.5,7.8,6.9,1.2,0.4,Group B
30,6.1,7.7,7.1,1.1,0.5,Group C